#
# Set Course data
#
# latitude [°] ; longitude [°] ; MSL altitude [m]; time to the next position [ms]; vehicle orientation [°]
#
48.000017905;12.999973242;0.15;1000;0
48.000026857;12.999973242;0.15;30000;0                                                                                    
48.000026857;12.999959862;0.15;30000;0                                                                                    
48.000008952;12.999959862;0.15;30000;0
48.000008952;12.999986621;0.15;30000;0
48.000026857;12.999986621;0.15;30000;0
48.000017905;12.999973242;0.15;1000;0

